business_name,phone,website,address,instagram,facebook,linkedin,email,city,spin,scraped_at,Has Website,Has Email,Has Social Media,Contact Completeness %,Lead Score,Priority
True Fitness Club - Best Gym In Mahim,075065 28977,http://truefitnessclub.in/,"Devdarshan CHS, Shop no 8,9,10, Pandit Satavalekar Marg, Mogul Ln, Mahim West, Mahim, Mumbai, Maharashtra 400016",https://www.instagram.com/true_fitness_club?igsh=MWkwMWVsZzZqeW9qNA==,https://www.facebook.com/profile.php?id=100090125482643,,support@truefitnessclub.in,Mumbai,Legacy Run,,Yes,Yes,Yes,83.33,95,Hot
Club Forza - Best Gym in Dwarka,099991 17536,https://clubforza.in/,"3rd floor, PALAM EXT, G-105, Sector 7 Dwarka, Dwarka, Delhi, 110075",https://www.instagram.com/clubforzadwarka/,https://www.facebook.com/clubforzadwarka,,sales@clubforza.in,Delhi,Legacy Run,,Yes,Yes,Yes,83.33,95,Hot
A Fitness Gym,091361 51506,https://sites.google.com/view/afitnessgym1/home,"Shop no D1, BINDRA COMPLEX, Mahakali Caves Rd, Andheri, Sunder Nagar, Jogeshwari East, Mumbai, Maharashtra 400093",https://www.google.com/url?q=https%3A%2F%2Fwww.instagram.com%2Fafitness_gym_studio%2F&sa=D&sntz=1&usg=AOvVaw1NKLL-I8TFtHxEGM2hEjsx,https://www.google.com/url?q=https%3A%2F%2Fwww.facebook.com%2Fafitness90&sa=D&sntz=1&usg=AOvVaw0c6dWDC1LcJbYXqz0J-J0n,,afitnessgym90@gmail.com,Mumbai,Legacy Run,,Yes,Yes,Yes,83.33,95,Hot
INCLINE FITNESS,077000 66670,https://inclinefitness.in/,"Plot No. 199/B, Anjeer Wadi, Thakkar Estate, Mazgaon, Mumbai, Maharashtra 400010",https://www.instagram.com/incline_fitness_gym/,https://www.facebook.com/inclinefitnessgym/,,info@inclinefitness.in,Mumbai,Legacy Run,,Yes,Yes,Yes,83.33,95,Hot
"Reshape Fitness - Gym in Ghatkopar East, Mumbai",098333 11727,https://thereshapefitness.com/,"Second Foor, 90 Feet Rd, above Swaminarayan Temple, Jaigayatri Co-op Housing Society, Garodia Nagar, Ghatkopar East, Mumbai, Maharashtra 400077",https://www.instagram.com/cult.reshape.fitness.ghatkopar/,https://www.facebook.com/Reshape.Fitness.Ghatkopar/,,hello@cultreshapefitness.com,Mumbai,Legacy Run,,Yes,Yes,Yes,83.33,95,Hot
Maharashtra Fitness Club,099309 23333,https://maharashtrafitness.in/,"1st Floor, BMC Building, Naushir Bharucha Marg, opp. Western Railway Bank, Grant Road West, Grant Road (W), Grant Road, Mumbai, Maharashtra 400007",https://www.instagram.com/mahafitclub/,https://www.facebook.com/mahafitclub,,mahafitclub@gmail.com,Mumbai,Legacy Run,,Yes,Yes,Yes,83.33,95,Hot
Perfect Fitness Gym And Equiment Repair | Best Gym in Jogeshwari East Mumbai,098201 55289,https://perfectfitnessgym.in/,"Basement, Shiv Solitaire Garment Hub, 5, Caves Rd, near Railway Station, Subhash Nagar, Jogeshwari East, Mumbai, Maharashtra 400060",https://www.instagram.com/,https://www.facebook.com/,,anjalijinsiwale@gmail.com,Mumbai,Legacy Run,,Yes,Yes,Yes,83.33,95,Hot
"Turbo Fitness | Best gym in Bandra, Mumbai",077770 50093,http://www.turbofitness.in/,"Shreeji Plaza, 2nd and 3rd Floor Next to KFC, 33rd Road, Off Linking Rd, Bandra West, Mumbai, Maharashtra 400050",https://www.instagram.com/turbofitnessbandra/?igsh=MWRzM2tpcDZ1ejE2Nw%3D%3D#,https://www.facebook.com/turbofitnessbandra?rdid=orkF5ewJXO7Jiuw6&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2F1AMChyrQBY%2F#,,info@sitename.com,Mumbai,Legacy Run,,Yes,Yes,Yes,83.33,95,Hot
"Pro Ultimate Gyms - Uttam Nagar, Delhi",088829 59990,https://www.proultimategyms.in/,"Metro Pillar 717, C7, Opp, Block G, Ram Nagar, Block A, Kiran Garden, Uttam Nagar, Delhi, 110059",https://www.instagram.com/proultimateindia/,https://www.facebook.com/proultimateindia,,support@proultimategyms.in,Delhi,Legacy Run,,Yes,Yes,Yes,83.33,95,Hot
48 Fitness,022 2636 4848,https://www.48fitness.in/,"3rd Floor, Crystal Point Mall, Andheri Link Rd, Sahayog Nagar, Bhudargarh Colony, Andheri West, Mumbai, Maharashtra 400053",https://www.instagram.com/48fitnessclub/,http://www.facebook.com/48fitness,,feedback@48fitness.in,Mumbai,Legacy Run,,Yes,Yes,Yes,83.33,95,Hot
Super Fitness by Abhishek kant,088006 36740,https://dhruvlakhan201.wixsite.com/super-fitness,"4/11, Street No. 4, Block 4, Roop Nagar, Delhi, 110007",https://www.instagram.com/superfitness_02/,https://www.facebook.com/wix,,dhruvlakhan201@gmail.com,Delhi,Legacy Run,,Yes,Yes,Yes,83.33,95,Hot
Adiyash Gym,082917 43902,https://www.adiyashgym.in/,"Khushiram Estate, Opp Pearl Hans Residency Near Pheonix Marketcity, Lbs Road, Sunder Baug Ln, w, Kurla, Mumbai, Maharashtra 400070",https://www.instagram.com/adiansh_gym/?igshid=1w2dehkhgg0pa,https://www.facebook.com/Adiansh-Gym-118790819529232,,adianshgym@gmail.com,Mumbai,Legacy Run,,Yes,Yes,Yes,83.33,95,Hot
"Indian School of Calisthenics (ISC) | Calisthenic Gym & Fitness Center - Goregaon, Mumbai",077159 53218,https://indianschoolofcalisthenics.com/,"ISC - INDIAN SCHOOL OF CALISTHENICS ,I am Arjuna Camp, SRPF GROUDS NH8, Goregaon East, Mumbai, Maharashtra 400065",https://www.instagram.com/isc.official_,https://www.facebook.com/iscalisthenic/,,isc.official00@gmail.com,Mumbai,Legacy Run,,Yes,Yes,Yes,83.33,95,Hot
"Fitness First Platinum Crest Mukta | Best gym in Andheri West, Mumbai",022 6911 0700,https://www.fitnessfirst.net.in/clubs/mega-mall-mumbai/,"CTS-688, Crest Mukta, Offveera Desai Rd 2nd Floor, Plot N-18, near Balaji Telefilms, Andheri, Mumbai, Maharashtra 400053",https://www.instagram.com/fitnessfirstindia/,https://www.facebook.com/FitnessFirstIndia,,Hello@curefit.com,Mumbai,Legacy Run,,Yes,Yes,Yes,83.33,95,Hot
Iron Paradise: Best Gym in Malad | Gym in Kandivali | Fitness Center,090829 19410,https://www.ironparadiseclubhouse.com/gym-in-malad.php,"Swami Vivekananda Rd, behind Milap petrol pump, opposite Thuga hospital, Kandivali, Goraswadi, Malad West, Mumbai, Maharashtra 400064",https://www.instagram.com/ironparadisemiraroad,https://www.facebook.com/IronParadiseIndia,,contact@ironparadiseclubhouse.com,Mumbai,Legacy Run,,Yes,Yes,Yes,83.33,95,Hot
Muscle Studio Gym | The best unisex gym in Vikhroli since 2015,097697 11521,https://www.musclestudio.co.in/,"Group no.7, opp. Ambedkar Hospital, Group Number 6, Tagore Nagar, Vikhroli East, Mumbai, Maharashtra 400083",https://www.instagram.com/muscle_studio?igsh=aWRodm9naXdjbjZi,https://www.facebook.com/musclestudio/,,musclestudio009@gmail.com,Mumbai,Legacy Run,,Yes,Yes,Yes,83.33,95,Hot
WOLF FITNESS ( World Of Life Fitness),093157 19076,https://sites.google.com/view/wolf-fitness/plans,"Building No. 51, Reliance Fresh, Near, Rani Jhansi Rd, Motia Khan, Sadar Bazaar, New Delhi, Delhi 110055",https://www.google.com/url?q=https%3A%2F%2Fwww.instagram.com%2Ffitnessw335%2F&sa=D&sntz=1&usg=AOvVaw1OcEVI0grN5pXvQOYK5NE5,https://www.google.com/url?q=https%3A%2F%2Fwww.facebook.com%2Ffitnessw335%2F&sa=D&sntz=1&usg=AOvVaw0XRgY04Vq0PGICKekhAHmP,,fitnessw335@gmail.com,Delhi,Legacy Run,,Yes,Yes,Yes,83.33,95,Hot
HR7 Fitness,098181 57776,https://www.hr7fitness.in/,"2/11,Basement, Main, Road, near Metro Station Patel Nagar, opp. Pillar no.189, Block 2, East Patel Nagar, Patel Nagar, New Delhi, Delhi 110008",https://www.instagram.com/hr7_fitness/,https://www.facebook.com/HR7fitnessclub,,hr7fitnessclub@gmail.com,Delhi,Legacy Run,,Yes,Yes,Yes,83.33,95,Hot
Powerzone Gym,072084 45444,http://powerzonegym.in/,"Power Zone Gym, Sumati Sadan, Malad, Orlem, Dominic Colony, Malad West, Mumbai, Maharashtra 400064",https://www.instagram.com/reel/C-J_J2FooYa/?igsh=MXV3aWpidjV5eGwyZA==,,,Powerzonegym@gmail.com,Mumbai,Legacy Run,,Yes,Yes,Yes,66.67,90,Hot
"24Hs FITNESS, Kirti Nagar",098009 70095,https://24hsfitness.com/,"42 DLF, opposite Singh Chicken, Moti Nagar, DLE Industrial Area, Industrial Area, New Delhi, Delhi, 110015",,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2F24hsfitness.com%2F,https://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2F24hsfitness.com%2F&title=Home+1,Info@24hsfitness.com,Delhi,Legacy Run,,Yes,Yes,Yes,83.33,90,Hot
Elixir Fitness Gym,097692 51664,http://www.elixirfitnessgym.com/,"Movie Tower Road, Yamuna Nagar Rd, Lokhandwala Complex, Andheri West, Mumbai, Maharashtra 400102",,,,elixirfitnessgym@gmail.com,Mumbai,Legacy Run,,Yes,Yes,No,50.0,80,Hot
Gold's Gym Lower Parel,,https://goldsgym.in/our-gyms/gold-s-gym-mumbai-lower-parel,"3rd Floor, TOWER-1, One World Center, Lower Parel, Mumbai, Maharashtra 400013",https://www.instagram.com/goldsgymindia/,https://www.facebook.com/GoldsGymIndia,https://www.linkedin.com/company/gold-s-gym-india/,customer.care@goldsgym.in,Mumbai,Legacy Run,,Yes,Yes,Yes,83.33,80,Hot
Fitness5 mumbai,070488 80005,http://www.fitness5mumbai.in/,"Fitness-5 35/148, Premises, Laxmi Industrial Estate, Suresh Nagar, Andheri West, Mumbai, Maharashtra 400053",,,,Fitness5mumbai@gmail.com,Mumbai,Legacy Run,,Yes,Yes,No,50.0,80,Hot
GS Gym & Crossfit,098102 80530,https://gsgym.in/,"Plot no 35, Main Rd, SN Colony, Nirankari Colony, Mukherjee Nagar, Delhi, 110033",,,,gsgymandcrossfit@gmail.com,Delhi,Legacy Run,,Yes,Yes,No,50.0,80,Hot
Fitness SPA | Luxury Gym in Defence Colony,099106 34055,https://fitnessspa.in/,"2nd Floor, D, 5, above Geetanjali Salon, Block D, Defence Colony, New Delhi, Delhi, 110024",,,,Info@fitnessspa.in,Delhi,Legacy Run,,Yes,Yes,No,50.0,80,Hot
SUPER FITNESS UNISEX GYM,097162 23301,https://ravee0786.wixsite.com/superfitnessunisexgy,"Near Gol Chakkar, D-3/1, Rana Pratap Bagh, New Delhi, Delhi 110007",,,,ravee0786@gmail.com,Delhi,Legacy Run,,Yes,Yes,No,50.0,80,Hot
"POWER POINT GYM, VILE PARLE",099207 21778,http://www.powerpointgyms.com/,"24, saraswati krupa irla gaothan lane opp Kls Memorial Hospital Irla, Vile Parle West, Vile Parle, Mumbai, Maharashtra 400056",,,,powerpointgyms@gmail.com,Mumbai,Legacy Run,,Yes,Yes,No,50.0,80,Hot
Midtown Fitness marine lines,,https://midtownfitnessgym.com/,"281, Shamaldas Gandhi Marg, Navajeevan Wadi, Sonapur, Marine Lines, Mumbai, Maharashtra 400002",https://instagram.com/,https://facebook.com/,,midtownfitnessindia@gmail.com,Mumbai,Legacy Run,,Yes,Yes,Yes,66.67,75,Hot
"Cult Gym Mulund West, Mumbai | Best Gym in Mulund West, Mumbai",091366 19505,https://www.cult.fit/cult/cult-pass/mumbai/Cult-gym-Mulund-West---Hybrid/2428%20?utm_source=gmb&utm_medium=organic,"Ist Floor, 360, Degree Business Park, A/Unit 101, W, Mulund West, Mumbai, Maharashtra 400080",https://www.instagram.com/wearecult/,https://www.facebook.com/wearecultofficial,https://www.linkedin.com/company/cult.fit/,,Mumbai,Legacy Run,,Yes,No,Yes,83.33,60,Warm
UFC GYM,091678 63680,http://ufcgym.in/,"Natasha, 52, Hill Rd, Bandra West, Mumbai, Maharashtra 400050",https://www.instagram.com/ufcgymindia/,https://www.facebook.com/ufcgymindia,https://in.linkedin.com/company/ufcgymindia,,Mumbai,Legacy Run,,Yes,No,Yes,83.33,60,Warm
"Cult Gym Dwarka Sector 12 | Best Gym in Dwarka, New Delhi",081784 43775,https://www.cult.fit/cult/cult-pass/gurgaon/Cult-Gym-Dwarka-Sector-12/413?utm_source=gmb&utm_medium=organic,"2nd/3rd Floor, Plot No, 12Next to Modern Bazaar, 2A, Sector 12 Dwarka, Delhi, 110078",https://www.instagram.com/wearecult/,https://www.facebook.com/wearecultofficial,https://www.linkedin.com/company/cult.fit/,,Delhi,Legacy Run,,Yes,No,Yes,83.33,60,Warm
Global Gym Ghatkopar,070459 48481,http://www.worldgym.com/ghatkopar,"207 & 208, Platinum Mall, 206, Jawahar Rd, Saibaba Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400077",https://www.instagram.com/worldgyminternational/,http://www.facebook.com/WorldGymInternational,https://www.linkedin.com/company/world-gym-international,,Mumbai,Legacy Run,,Yes,No,Yes,83.33,60,Warm
"Elon Fitness - Available on Cult.fit | Best Gym in Wadala West, Mumbai",086575 33194,https://www.cult.fit/cult/cult-pass/mumbai/Elon-Fitness/341?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-visit&utm_content=mumbai,"BPCA Building, Naigaon Cross Rd, Sahakar Nagar, Wadala, Mumbai, Maharashtra 400031",https://www.instagram.com/wearecult/,https://www.facebook.com/wearecultofficial,https://www.linkedin.com/company/cult.fit/,,Mumbai,Legacy Run,,Yes,No,Yes,83.33,60,Warm
"Cult Gym Sion | Best Gym in Sion, Mumbai",099164 73628,https://www.cult.fit/cult/center/sion/cult-gym-sion/855?utm_source=gmb&utm_medium=organic,"Ground Floor, Godrej Coliseum, Sewri - Chembur Rd, GTB Nagar, Lalbaug, Everard Nagar, Sion, Mumbai, Maharashtra 400022",https://www.instagram.com/wearecult/,https://www.facebook.com/wearecultofficial,https://www.linkedin.com/company/cult.fit/,,Mumbai,Legacy Run,,Yes,No,Yes,83.33,60,Warm
"Cult Gym Prabhadevi | Best Gym in Prabhadevi, Mumbai",099164 74576,https://www.cult.fit/cult/center/prabhadevi/cult-prabhadevi/199?utm_source=Google&utm_medium=organic&utm_term=Mumbai&utm_campaign=199,"5th Floor, Orbit Plaza, New Prabhadevi Rd, near Reliance Digital, Prabhadevi, Mumbai, Maharashtra 400025",https://www.instagram.com/wearecult/,https://www.facebook.com/wearecultofficial,https://www.linkedin.com/company/cult.fit/,,Mumbai,Legacy Run,,Yes,No,Yes,83.33,60,Warm
"Cult Gym Lower Parel | Best Gym in Lower Parel, Mumbai",080 4075 6981,https://www.cult.fit/cult/center/lower%20parel/Cult-Lower-Parel/1036?utm_source=gmb&utm_medium=organic,"Peninsula Spenta 1, Peninsula Corporate Park, Ganapatrao Kadam Marg, Lower Parel West, Lower Parel, Mumbai, Maharashtra 400013",https://www.instagram.com/wearecult/,https://www.facebook.com/wearecultofficial,https://www.linkedin.com/company/cult.fit/,,Mumbai,Legacy Run,,Yes,No,Yes,83.33,60,Warm
"Cult Gym Green Park | Best Gym in Green Park, Delhi",095381 37516,https://www.cult.fit/cult/cult-pass/gurgaon/Cult-Gym-Green-Park/2370?utm_source=gmb&utm_medium=organic,"2nd and 3rd Floor, A-4, Sri Aurobindo Marg, above Modern Bazaar, Block A, Green Park Extension, Green Park, New Delhi, Delhi 110016",https://www.instagram.com/wearecult/,https://www.facebook.com/wearecultofficial,https://www.linkedin.com/company/cult.fit/,,Delhi,Legacy Run,,Yes,No,Yes,83.33,60,Warm
"FLUID Gym - Gyms in Pushpanjali Enclave, Delhi",078277 92587,https://www.cult.fit/cult/cult-pass/gurgaon/Fluid/143?utm_source=Google&utm_medium=Organic&utm_content=Delhi&utm_campaign=143,"B-101, Ground Floor, Service Rd, Pushpanjali Enclave, Pitampura, New Delhi, Delhi, 110034",https://www.instagram.com/wearecult/,https://www.facebook.com/wearecultofficial,https://www.linkedin.com/company/cult.fit/,,Delhi,Legacy Run,,Yes,No,Yes,83.33,60,Warm
"Cult Gym Ghatkopar | Best Gym in Ghatkopar, Mumbai",088840 65122,https://www.cult.fit/cult/center/ghatkopar/Cult-Ghatkopar/1062?utm_source=gmb&utm_medium=organic,"D wing, Karma Sankalp Building, Babli Mahadev Kanekar Marg Integrated Space Limited, opp. NEELKANTH VALLEY, Ghatkopar, Mumbai, Maharashtra 400077",https://www.instagram.com/wearecult/,https://www.facebook.com/wearecultofficial,https://www.linkedin.com/company/cult.fit/,,Mumbai,Legacy Run,,Yes,No,Yes,83.33,60,Warm
"Fitness First Connaught Place, Hamilton House | Best gym in Connaught Place, New Delhi",092116 08895,https://www.fitnessfirst.net.in/clubs/hamilton-hous,"2nd Floor, Building No. 1 & 2, 1-A, Radial Rd Number 2, Block A, Connaught Place, New Delhi, Delhi 110001",https://www.instagram.com/fitnessfirstindia/,https://www.facebook.com/FitnessFirstIndia,,,Delhi,Legacy Run,,Yes,No,Yes,66.67,55,Warm
"Fitness First Platinum Adani Inspire | Best gym in Bandra East, Mumbai",022 6956 9888,https://www.fitnessfirst.net.in/clubs/fitness-first-platinum-bkc,"Building on, BKC Road BKC - 1st Floor of Inspire BKC, G Block Rd, Bharat Nagar, Bandra East, Mumbai, Maharashtra 400051",https://www.instagram.com/fitnessfirstindia/,https://www.facebook.com/FitnessFirstIndia,,,Mumbai,Legacy Run,,Yes,No,Yes,66.67,55,Warm
Why Not Fitness - Best Gym in Andheri West,086920 66066,https://whynotfitness.in/gym-in-andheri-west,"2nd Floor, Laxmi Industrial Estate, Laxmi Business Park, 228-233, New Link Rd, Andheri West, Mumbai, Maharashtra 400053",https://www.instagram.com/whynotfitnessofficial/,https://www.facebook.com/WhyNotFitnessOfficial/,,,Mumbai,Legacy Run,,Yes,No,Yes,66.67,55,Warm
Fitness factory gym and spa,099531 15121,https://fitness-factory-gym-delhi-delhi.grexa.site/,"Wz 294 g block hari nagar jail road, opp. OM Sweets, Hari Nagar, Delhi, Delhi, 110058",https://www.instagram.com/_fitnessfactory/,https://www.facebook.com/FitnessFactoryJailRoad/,,,Delhi,Legacy Run,,Yes,No,Yes,66.67,55,Warm
"Fitness Factory - Best Gym in Mira Road, Mumbai",096196 13000,https://www.gymfitnessfactory.in/,"3rd Floor, Kanakia Rd, above Star Market, Shivar Garden, Mira Road East, Mira Bhayandar, Maharashtra 401107",https://www.instagram.com/fitnessfactorygyms/?hl=en,https://www.facebook.com/fitnessfactorygyms,,,Mumbai,Legacy Run,,Yes,No,Yes,66.67,55,Warm
Active GYM,096192 42423,https://activegym.in/,"new vaizal compound, Film City Rd, opposite Satellite Tower, Azad Nagar, Gokuldham Colony, Goregaon East, Mumbai, Maharashtra 400065",https://www.instagram.com/activegym.in/,,,,Mumbai,Legacy Run,,Yes,No,Yes,50.0,50,Warm
MUSCLE AND FITNESS ZONE (MF ZONE),097166 60004,http://www.facebook.com/MnFzone,"House no.4 Maujpur Road, Gym Wali Gali, Syam Block, Delhi, 110053",,//www.facebook.com/,,,Delhi,Legacy Run,,Yes,No,Yes,50.0,45,Warm
I Think Fitness,077180 33300,http://facebook.com/ithinkfitness,"4th Floor, St. Paul Media Complex, 24th, Turner Rd, opp. Duruelo Convent High School, Bandra West, Mumbai, Maharashtra 400050",,//www.facebook.com/,,,Mumbai,Legacy Run,,Yes,No,Yes,50.0,45,Warm
Be Beast gym . branch (lodha lower parel) and (rani baug ghodapdev),063669 03901,http://bethebeast.in/,"163, B-WING, J.K. TOWER R.B. MARG, FERBANNDAR, Ghodapdeo, Byculla East, Mumbai, Maharashtra 400033",,,,,Mumbai,Legacy Run,,Yes,No,No,33.33,40,Warm
Delhi fitness gym,099998 82070,https://delhifitnessgym.in/,"Building no 33, metro pillar 164, service line, Old Ranjeet Nagar, Block 5, South Patel Nagar, New Delhi, Delhi 110008",,,,,Delhi,Legacy Run,,Yes,No,No,33.33,40,Warm
19FITNESS | Gym in Alaknanda,099992 26561,https://www.19fitness.in/,"S-1 Second Floor, Abhishek Towers, above Axis Bank, Alaknanda Market, Alaknanda, New Delhi, Delhi 110019",,,,,Delhi,Legacy Run,,Yes,No,No,33.33,40,Warm
FLEXFIRE GYM,086898 10159,https://flexfire-gym.grexa.site/,"Lal Bahadur Shastri Marg, opposite KABIR HOSPITAL, Buddha Colony, Kurla West, Kurla, Mumbai, Maharashtra 400070",,,,,Mumbai,Legacy Run,,Yes,No,No,33.33,40,Warm
GROW STRONG GYM,091522 91511,http://www.growstrong.in/,"LALJI COMPOUND, Military Rd, Bhavani Nagar, Marol, Andheri East, Mumbai, Maharashtra 400059",,,,,Mumbai,Legacy Run,,Yes,No,No,33.33,40,Warm
"THE FLEX FITNESS | Gym Equipment Wholesaler, Delhi",095605 05427,https://the-flex-fitness.grexa.site/,"15/3 backside, metro station gate, Street No. 4, near tilak nagar, Prem Nagar, Janakpuri, Delhi, 110058",,,,,Delhi,Legacy Run,,Yes,No,No,33.33,40,Warm
Sharks Gym,099713 74174,https://www.sharksgym.in/,"metro pillar -11, 29, Panchkuian Road, RamaKrishna Ashram Marg, Paharganj, New Delhi, Delhi 110001",,,,,Delhi,Legacy Run,,Yes,No,No,33.33,40,Warm
Be Beast gym Lodha,063669 03902,http://bethebeast.in/,"Be Beast Gym, Shastri Nagar, Adarsh Nagar, Worli, Mumbai, Maharashtra 400011",,,,,Mumbai,Legacy Run,,Yes,No,No,33.33,40,Warm
To The Core Fitness,098203 11464,https://tothecorefitness.theeace.online/,"Shop No 2, Ground floor, Hira Cottage Building, Raja Ram Mohan Roy Rd, opp. Cama Baug, near Reliance Hospital, Charni Road, Grant Road East, Shapur Baug, Grant Road, Mumbai, Maharashtra 400004",,,,,Mumbai,Legacy Run,,Yes,No,No,33.33,40,Warm
The Strength Club,083699 48566,https://thestrengthclub.in/,"5th Floor, Dilkap Center, Magan Nathuram Rd, Safed Pul, Saki Naka, Mumbai, Maharashtra 400072",,,,,Mumbai,Legacy Run,,Yes,No,No,33.33,40,Warm
Key Gym - Fitness club,022 3056 7677,http://www.keysfitness.in/,"2nd floor, Crystal Lawn Society, near v care, Kandivali, Nabard Nagar, Thakur Complex, Kandivali East, Mumbai, Maharashtra 400101",,,,,Mumbai,Legacy Run,,Yes,No,No,33.33,40,Warm
The Absolut Fitness,099909 00910,https://www.absolutfitness.in/,"2nd floor, 94, opp. Pocket-L, near G D Goenka Public School, Madanpur Khadar Village, Sarita Vihar, New Delhi, Delhi 110076",,,,,Delhi,Legacy Run,,Yes,No,No,33.33,40,Warm
Aesthetic Junction Gym - Certified Fitness Trainers in Delhi NCR,078349 76226,https://www.aestheticjunction.com/,"B-352, basement, Sangam Gali, Chilla Sarda Banger, Block C, Ashok Nagar Extension, New Ashok Nagar, Delhi, 110096",,,,,Delhi,Legacy Run,,Yes,No,No,33.33,40,Warm
